0,0
0.02,17.3941
0.04,-11.9649
0.06,3.45957
0.08,-0.6734
0.1,0.434027
0.12,0.137293
0.14,0.216802
0.16,0.195498
0.18,0.201206
0.2,0.199677
0.22,0.200087
0.24,0.199977
0.26,0.200006
0.28,0.199998
0.3,0.2
0.32,0.2
0.34,0.2
0.36,0.2
0.38,0.2
0.4,0.2
0.42,0.2
0.44,0.2
0.46,0.2
0.48,0.2
0.5,0.2
0.52,0.2
0.54,0.2
0.56,0.2
0.58,0.2
0.6,0.2
0.62,0.2
0.64,0.2
0.66,0.2
0.68,0.2
0.7,0.2
0.72,0.199998
0.74,0.200006
0.76,0.199977
0.78,0.200087
0.8,0.199677
0.82,0.201206
0.84,0.195498
0.86,0.216802
0.88,0.137293
0.9,0.434027
0.92,-0.6734
0.94,3.45957
0.96,-11.9649
0.98,17.3941
1,0
