0,0
0.02,0.00196
0.04,0.00384
0.06,0.00564
0.08,0.00736
0.1,0.009
0.12,0.01056
0.14,0.01204
0.16,0.01344
0.18,0.01476
0.2,0.016
0.22,0.01716
0.24,0.01824
0.26,0.01924
0.28,0.02016
0.3,0.021
0.32,0.02176
0.34,0.02244
0.36,0.02304
0.38,0.02356
0.4,0.024
0.42,0.02436
0.44,0.02464
0.46,0.02484
0.48,0.02496
0.5,0.025
0.52,0.02496
0.54,0.02484
0.56,0.02464
0.58,0.02436
0.6,0.024
0.62,0.02356
0.64,0.02304
0.66,0.02244
0.68,0.02176
0.7,0.021
0.72,0.02016
0.74,0.01924
0.76,0.01824
0.78,0.01716
0.8,0.016
0.82,0.01476
0.84,0.01344
0.86,0.01204
0.88,0.01056
0.9,0.009
0.92,0.00736
0.94,0.00564
0.96,0.00384
0.98,0.00196
1,0
